    1    29     7.425742     1.186154
    1    35     7.767852     1.565434
    2     5     5.196614     0.028990
    3     7     7.094815     1.534351
    3    32     6.988018     0.683669
    4     8     5.413765     1.534351
    4     9     7.875234     1.534351
    4    32     5.873510     0.975980
    4    35     6.423123     0.975980
    4    36     6.777856     0.444506
    5     9     6.158690     1.534351
    5    26     6.308829     0.727154
    5    27     5.750538     0.292311
    6    10     5.274377     1.534351
    8    11     5.256926     1.534351
    8    12     6.488972     1.534351
    8    26     8.684674     1.106433
    8    36     6.355043     0.444506
    8    39     7.161860     0.316469
    9    12     4.649719     1.534351
    9    13     6.218715     1.534351
    9    23     6.201490     1.652402
    9    26     7.924064     1.579929
    9    39     7.731231     0.727154
   12    15     4.731770     1.534351
   12    16     6.765073     1.534351
   12    17     6.049134     1.534351
   12    23     8.164387     1.758697
   12    39     7.533500     0.814122
   12    42     9.653102     1.700718
   13    23     8.846866     0.811706
   17    22     8.515811     1.268291
   17    42     8.497350     1.579929
   17    46     9.241099     1.000138
   19    22     5.963682     0.671590
   19    23     6.834582     1.534351
   20    24     5.110215     1.534351
   20    25     7.505507     1.534351
   22    39     6.630260     0.628106
   22    42     6.727455     1.268291
   22    45     9.253970     0.811706
   22    46     9.210829     0.850359
   23    27     7.371046     1.534351
   23    39     8.015084     0.811706
   24    27     6.128675     1.534351
   24    28     7.001367     1.534351
   25    29     6.324210     1.534351
   25    38     7.750401     1.186154
   26    29     5.478083     1.534351
   26    35     5.160544     1.461555
   26    39     7.535024     0.727154
   29    34     4.915601     0.364785
   29    35     5.191645     0.975980
   29    38     7.497863     1.186154
   30    34     5.421359     0.434843
   31    34     5.090315     1.534351
   31    35     6.393831     1.534351
   31    36     8.778847     0.383588
   32    35     4.950193     0.383588
   32    36     5.979306     0.683669
   32    37     7.903423     0.383588
   33    36     5.380221     0.383588
   33    37     5.508759     1.534351
   34    38     6.021405     1.534351
   35    39     6.725860     1.534351
   36    40     6.464532     1.534351
   37    41     6.305978     2.301526
   38    41     4.985285     0.867270
   38    42     6.576561     2.301526
   39    42     5.402847     0.727154
   39    43     7.418669     1.534351
   40    45     8.618630     0.383588
   41    44     5.302181     1.917938
   41    45     5.190814     0.364785
   41    46     7.851590     0.383588
   42    45     4.500640     0.383588
   42    46     5.127570     1.000138
   42    47     6.410847     1.534351
